name,latitude,longitude,Hotel_Name
Celebrity Cuisine,22.284334,114.15312,Lan Kwai Fong Hotel @ Kau U Fong
Sushi Wadatsumi,22.281038,114.15646000000001,Mini Hotel Central
Arcane,22.280624,114.15682,Mini Hotel Central
Duddell's,22.280079999999998,114.15736399999999,Sushi Shikon
Beefbar,22.27982,114.15751999999999,Sushi Shikon
New Punjab Club,22.28005,114.15525,Aveny
Kaiseki Den by Saotome,22.285713,114.147865,Travelodge Central Hollywood Road
Belon,22.281662,114.152405,Treasure View - SOHO
Tate,22.280996,114.15276000000001,Treasure View - SOHO
The Ocean,22.235146,114.198524,The Repulse Bay 淺水灣影灣園
Costes Downtown,47.501129999999996,19.048595000000002,Zeina Hotels
Borkonyha Winekitchen,47.49953,19.052391,Hotel SasOne
Stand,47.500244,19.059624,Appartamento a Budapest
Babel,47.492603,19.05256,La Prima Fashion Hotel & Restaurant
Costes,47.48873,19.061779,Mirage Apartments Váci Str
The Kitchen,22.191442000000002,113.54299999999999,Grand Lisboa Hotel
Tim's Kitchen,22.189898,113.5439,Lisboa Hotel
Wing Lei,22.188028,113.54578000000001,Encore Macau
King,22.190178,113.54028000000001,시티오브드림셔틀버스
Ying,22.161234,113.55540500000001,T6 Nova City
Shinji by Kanesaka,22.149635,113.56397,澳門永利皇宮
The Golden Peacock,22.148178,113.56335,港澳跨境直通巴士侯車區
Zi Yat Heen,22.145418,113.56152,"Four Seasons Hotel Macao, Cotai Strip"
8 1/2 Otto e Mezzo - Bombana,22.149179999999998,113.55393000000001,"espa at the ritz-carlton, macau"
Pearl Dragon,22.140524,113.56256,Star Tower
Lai Heen,22.148754,113.551926,君樂皇府公寓式酒店
FAGN,63.43391999999999,10.39628,City Living Sentrum Hotel & Apartments
Credo,63.43391,10.39631,City Living Sentrum Hotel & Apartments
RE-NAA,58.972088,5.732876999999999,Best Western Havly Hotell
Sabi Omakase,58.969936,5.7433133000000005,Store Skippersgate 9 B+B
Galt,59.91661,10.71369,Frogner House Apartments AS
Kontrast,59.92355,10.75106,Scandic Vulkan
Statholdergaarden,59.909369999999996,10.74305,Thon Hotel Panorama
Del Posto,40.74327,-74.0077,Liberty Inn
Le Grill de Joël Robuchon,40.742897,-74.0077,Liberty Inn
L'Appart,40.711903,-74.01544,Grand tower
Okuda,40.743793,-74.00633,Grand Ballroom at the Mansion
Wallsé,40.73538,-74.00814,Casa da Manu
Jeju Noodle Bar,40.732952000000004,-74.00744,alamo rent a car times square
Sushi Nakazawa,40.731716,-74.00451,Ny015 3 Bedroom Apartment By Senstay
Kosaka,40.738316,-74.00137,Chelsea Art Suites
Bâtard,40.719615999999995,-74.00589000000001,The Roxy Hotel
Hirohisa,40.72452,-74.003006,Thompson st New York
Blue Hill,40.7321,-73.9996,Washington Square Hotel
ZZ's Clam Bar,40.727646,-74.00046,Rary’s Place
Babbo,40.73233,-73.99916,Washington Square Hotel
Carbone,40.727965999999995,-74.00017,Rary’s Place
Le Coucou,40.719162,-74.00001,Hotel
Aldea,40.73885,-73.99365999999999,hotel boutique at gran central
Cote,40.73778,-73.99375,Chelsea Inn Hotel
Bouley at Home,40.74114,-73.99242,125 w 26th st new york
Gotham Bar and Grill,40.73417,-73.99379,"Hotel Colibrí Beach, Playa del Carmen"
Nix,40.733166,-73.993515,"Hotel Colibrí Beach, Playa del Carmen"
Junoon,40.74325,-73.99077,Hotel Henri
NoMad,40.74497,-73.98883000000001,NoMad New York
The Musket Room,40.723915000000005,-73.99375,Blondie's apartment
Uncle Boons,40.721203,-73.99441,The Nolitan
Noda,40.74497,-73.988075,Hyatt House
Gramercy Tavern,40.738490000000006,-73.98868,Pure Food Kids Foundation
The Clocktower,40.7414,-73.987595,The New York EDITION
Ai Fiori,40.75013,-73.98357,"The Langham, New York, Fifth Avenue"
Casa Mono,40.73595,-73.98706,Inn At Irving Place
Jewel Bako,40.727129999999995,-73.98928000000001,Christopher Columbus
The River Café,40.703613,-73.99477399999999,1 Hotel Brooklyn Bridge
Bar Uchū,40.72191,-73.99003,Bagnkeys Store Luggage & Exchange Keys
